province,province_code,district,district_code,ward,ward_code,address,long,lat
Đắk Lắk,66,Krông Bông,653,Cư Pui,24478,"Đắk Lắk,Krông Bông,Cư Pui",108.600375266106,12.5434570409729
Đắk Lắk,66,Krông Bông,653,Dang Kang,24451,"Đắk Lắk,Krông Bông,Dang Kang",108.321344137078,12.606053810837901
Đắk Lắk,66,Krông Bông,653,Ea Trul,24472,"Đắk Lắk,Krông Bông,Ea Trul",108.259024694623,12.4962522382144
Đắk Lắk,66,Krông Bông,653,Hòa Lễ,24466,"Đắk Lắk,Krông Bông,Hòa Lễ",108.403228327593,12.4775527612508
Đắk Lắk,66,Krông Bông,653,Hòa Phong,24463,"Đắk Lắk,Krông Bông,Hòa Phong",108.478620473659,12.520971471718699
Đắk Lắk,66,Krông Bông,653,Hòa Sơn,24481,"Đắk Lắk,Krông Bông,Hòa Sơn",108.303050202943,12.483300222292199
Đắk Lắk,66,Krông Bông,653,Hòa Tân,24460,"Đắk Lắk,Krông Bông,Hòa Tân",108.29010908248001,12.543552217957302
Đắk Lắk,66,Krông Bông,653,Hòa Thành,24457,"Đắk Lắk,Krông Bông,Hòa Thành",108.288522734162,12.573223243722401
Đắk Lắk,66,Krông Bông,653,Khuê Ngọc Điền,24475,"Đắk Lắk,Krông Bông,Khuê Ngọc Điền",108.35041338194901,12.4860573113948
Đắk Lắk,66,Krông Bông,653,TT. Krông Kmar,24448,"Đắk Lắk,Krông Bông,TT. Krông Kmar",108.33480410269699,12.5055947352636
Đắk Lắk,66,Krông Bông,653,Yang Mao,24487,"Đắk Lắk,Krông Bông,Yang Mao",108.574407345319,12.3732228519423
Đắk Lắk,66,Krông Bông,653,Yang Reh,24469,"Đắk Lắk,Krông Bông,Yang Reh",108.212465954731,12.4962128311903
Đắk Lắk,66,Krông Búk,649,Chư KBô,24310,"Đắk Lắk,Krông Búk,Chư KBô",108.245508290469,13.0238521063431
Đắk Lắk,66,Krông Búk,649,Cư Né,24307,"Đắk Lắk,Krông Búk,Cư Né",108.234746851307,13.0818339897661
Đắk Lắk,66,Krông Búk,649,Cư Pơng,24313,"Đắk Lắk,Krông Búk,Cư Pơng",108.149166266822,13.0125163383339
Đắk Lắk,66,Krông Búk,649,Ea Ngai,24319,"Đắk Lắk,Krông Búk,Ea Ngai",108.206107464209,12.9484015575284
Đắk Lắk,66,Krông Búk,649,Ea Sin,24314,"Đắk Lắk,Krông Búk,Ea Sin",108.155132169655,13.080374849251802
Đắk Lắk,66,Krông Búk,649,Pơng Drang,24316,"Đắk Lắk,Krông Búk,Pơng Drang",108.24034340325599,12.9730113606936
Đắk Lắk,66,Krông Búk,649,Tân Lập,24317,"Đắk Lắk,Krông Búk,Tân Lập",108.27842211744101,12.961316197224699
Đắk Lắk,66,Krông Năng,650,Cư Klông,24367,"Đắk Lắk,Krông Năng,Cư Klông",108.451423035538,13.090993956066198
Đắk Lắk,66,Krông Năng,650,ĐLiê Ya,24346,"Đắk Lắk,Krông Năng,ĐLiê Ya",108.37925671699101,13.093403717201399
Đắk Lắk,66,Krông Năng,650,Ea Dăh,24360,"Đắk Lắk,Krông Năng,Ea Dăh",108.45170619562799,12.920007198605001
Đắk Lắk,66,Krông Năng,650,Ea Hồ,24361,"Đắk Lắk,Krông Năng,Ea Hồ",108.30722836761,12.970015117869599
Đắk Lắk,66,Krông Năng,650,Ea Puk,24359,"Đắk Lắk,Krông Năng,Ea Puk",108.454259052892,12.973015175638098
Đắk Lắk,66,Krông Năng,650,Ea Tam,24352,"Đắk Lắk,Krông Năng,Ea Tam",108.442595739881,13.031009269653302
Đắk Lắk,66,Krông Năng,650,Ea Tân,24370,"Đắk Lắk,Krông Năng,Ea Tân",108.32170368007,13.110726699163001
Đắk Lắk,66,Krông Năng,650,Ea Tóh,24349,"Đắk Lắk,Krông Năng,Ea Tóh",108.315663848814,13.0416583117018
Đắk Lắk,66,Krông Năng,650,Phú Lộc,24355,"Đắk Lắk,Krông Năng,Phú Lộc",108.35202443604099,12.991532439353099
Đắk Lắk,66,Krông Năng,650,Phú Xuân,24364,"Đắk Lắk,Krông Năng,Phú Xuân",108.384001315095,12.892960934169299
Đắk Lắk,66,Krông Năng,650,Tam Giang,24358,"Đắk Lắk,Krông Năng,Tam Giang",108.399686738118,12.967650255555698
Đắk Lắk,66,Krông Năng,650,TT. Krông Năng,24343,"Đắk Lắk,Krông Năng,TT. Krông Năng",108.363238666867,12.9447491576014
Đắk Lắk,66,Krông Pắc,654,Ea Hiu,24520,"Đắk Lắk,Krông Pắc,Ea Hiu",108.369370779433,12.679669463313699
Đắk Lắk,66,Krông Pắc,654,Ea Kênh,24499,"Đắk Lắk,Krông Pắc,Ea Kênh",108.243406455082,12.7034193244979
Đắk Lắk,66,Krông Pắc,654,Ea Kly,24496,"Đắk Lắk,Krông Pắc,Ea Kly",108.423509282615,12.732966228946301
Đắk Lắk,66,Krông Pắc,654,Ea KNuec,24505,"Đắk Lắk,Krông Pắc,Ea KNuec",108.217922208306,12.6948353380879
